,Player,Pos,Age,Tm_x,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Tm_y,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,Signed Using,Guaranteed
326,"Little, Nassir",PF,20,POR,48,2,13.3,1.6,3.5,.467,0.6,1.7,.350,1.0,1.8,.575,.551,0.8,0.9,.800,0.7,2.0,2.7,0.5,0.1,0.3,0.4,1.1,4.6,POR,2316240.0,4171548.0,0.0,0.0,0.0,0.0,1st Round Pick,6487788.0
327,"Looney, Kevon",C,24,GSW,61,34,19.0,1.8,3.2,.548,0.1,0.3,.235,1.7,3.0,.578,.558,0.5,0.8,.646,1.9,3.4,5.3,2.0,0.3,0.4,0.6,2.2,4.1,GSW,5178572.0,0.0,0.0,0.0,0.0,0.0,Bird Rights,5178572.0
328,"Lopez, Brook",C,32,MIL,70,70,27.2,4.6,9.1,.503,1.4,4.0,.338,3.2,5.1,.632,.577,1.7,2.0,.845,1.5,3.5,5.0,0.7,0.6,1.5,0.9,2.1,12.3,MIL,13302325.0,13906976.0,0.0,0.0,0.0,0.0,Cap Space,27209301.0
329,"Lopez, Robin",C,32,WAS,71,9,19.1,3.8,6.0,.633,0.1,0.3,.278,3.7,5.7,.649,.639,1.4,1.9,.723,2.0,1.8,3.8,0.8,0.2,0.6,1.1,1.5,9.0,ORL,5000000.0,0.0,0.0,0.0,0.0,0.0,MLE,5000000.0
330,"Louzada, Didi",SF,21,NOP,3,0,18.7,1.0,4.3,.231,0.7,2.7,.250,0.3,1.7,.200,.308,0.0,0.0,,0.3,0.7,1.0,1.0,0.7,0.0,1.0,1.7,2.7,NOP,1786878.0,1876222.0,1965566.0,2057646.0,0.0,0.0,Non Bird,3663100.0
331,"Love, Kevin",PF,32,CLE,25,25,24.9,4.1,10.1,.409,2.3,6.2,.365,1.8,3.8,.479,.522,1.7,2.0,.824,0.7,6.8,7.4,2.5,0.6,0.1,1.5,1.0,12.2,CLE,31300000.0,28900000.0,0.0,0.0,0.0,0.0,Bird Rights,60200000.0
332,"Lowry, Kyle",PG,34,TOR,46,46,34.8,5.7,13.0,.436,2.8,7.2,.396,2.8,5.8,.487,.546,3.0,3.5,.875,0.8,4.6,5.4,7.3,1.0,0.3,2.7,3.1,17.2,MIA,26984128.0,28333334.0,29682540.0,0.0,0.0,0.0,Bird,85000002.0
333,"Luwawu-Cabarrot, Timothé",SF,25,BRK,58,7,18.1,2.2,6.1,.365,1.3,4.1,.314,0.9,2.0,.470,.471,0.6,0.7,.814,0.5,1.7,2.2,1.2,0.6,0.1,0.7,1.7,6.4,ATL,1939350.0,0.0,0.0,0.0,0.0,0.0,,0.0
334,"Lyles, Trey",PF,25,SAS,23,9,15.6,1.9,3.9,.478,0.6,1.7,.350,1.3,2.2,.580,.556,0.7,1.0,.652,0.4,3.3,3.7,0.6,0.3,0.0,0.3,0.6,5.0,DET,2500000.0,2625000.0,0.0,0.0,0.0,0.0,Cap Space,2500000.0
335,"Maledon, Théo",PG,19,OKC,65,49,27.4,3.5,9.4,.368,1.6,4.8,.335,1.9,4.6,.402,.454,1.6,2.1,.748,0.4,2.9,3.2,3.5,0.9,0.2,2.2,1.9,10.1,OKC,2000000.0,1900000.0,1930681.0,0.0,0.0,0.0,MLE,2000000.0
336,"Mann, Terance",SG,24,LAC,67,10,18.9,2.7,5.2,.509,0.6,1.4,.418,2.1,3.9,.541,.563,1.2,1.4,.830,0.8,2.8,3.6,1.6,0.4,0.2,0.6,1.9,7.0,LAC,1782621.0,1930681.0,10576923.0,11423077.0,0.0,0.0,Minimum Salary,25713302.0
337,"Marjanović, Boban",C,32,DAL,33,3,8.2,1.9,3.7,.508,0.0,0.2,.125,1.8,3.5,.535,.512,0.9,1.2,.816,1.4,2.5,3.9,0.3,0.1,0.2,0.4,0.9,4.7,DAL,3500000.0,3500000.0,0.0,0.0,0.0,0.0,Early Bird,7000000.0
338,"Markkanen, Lauri",PF,23,CHI,51,26,25.8,4.9,10.2,.480,2.3,5.8,.402,2.6,4.4,.582,.594,1.5,1.8,.826,0.7,4.6,5.3,0.9,0.5,0.3,1.0,1.5,13.6,CLE,15690909.0,16475454.0,17259999.0,18044544.0,0.0,0.0,Sign and Trade,55426362.0
339,"Marshall, Naji",SF,23,NOP,32,10,21.9,2.6,6.5,.392,0.9,2.6,.349,1.7,3.9,.421,.462,1.7,2.3,.707,0.5,4.2,4.6,2.8,0.8,0.3,1.2,1.8,7.7,NOP,1517981.0,1782621.0,1930681.0,0.0,0.0,0.0,MLE,1517981.0
340,"Martin, Cody",SF,25,CHO,52,10,16.3,1.6,3.6,.441,0.3,1.1,.276,1.3,2.5,.515,.484,0.5,0.8,.581,1.0,2.1,3.1,1.7,0.7,0.2,0.8,1.0,4.0,CHO,1782621.0,0.0,0.0,0.0,0.0,0.0,MLE,1782621.0
341,"Jr., Martin, Kenyon",SF,20,HOU,45,8,23.7,3.6,7.1,.509,0.8,2.1,.365,2.8,4.9,.572,.564,1.3,1.9,.714,1.6,3.8,5.4,1.1,0.7,0.9,0.8,2.0,9.3,HOU,1517981.0,1782621.0,1930681.0,0.0,0.0,0.0,,0.0
342,"Mathews, Garrison",SG,24,WAS,64,24,16.2,1.5,3.7,.409,1.2,3.1,.384,0.3,0.6,.538,.570,1.3,1.5,.884,0.3,1.1,1.4,0.4,0.5,0.1,0.2,1.7,5.5,HOU,1093598.0,1815677.0,1968182.0,2230253.0,0.0,0.0,Cap Space,1093598.0
343,"Mathias, Dakota",SG,25,PHI,8,2,15.4,2.4,6.0,.396,1.0,3.3,.308,1.4,2.8,.500,.479,0.3,0.8,.333,0.1,0.8,0.9,1.6,0.1,0.4,0.1,0.9,6.0,MEM,53176.0,0.0,0.0,0.0,0.0,0.0,,106352.0
344,"Mathias, Dakota",SG,25,PHI,8,2,15.4,2.4,6.0,.396,1.0,3.3,.308,1.4,2.8,.500,.479,0.3,0.8,.333,0.1,0.8,0.9,1.6,0.1,0.4,0.1,0.9,6.0,MEM,53176.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,106352.0
345,"Matthews, Wesley",SG,34,LAL,58,10,19.5,1.5,4.3,.353,1.1,3.4,.335,0.4,0.9,.418,.484,0.6,0.7,.854,0.3,1.3,1.6,0.9,0.7,0.3,0.4,1.4,4.8,MIL,1958501.0,0.0,0.0,0.0,0.0,0.0,,0.0
346,"Maxey, Tyrese",SG,20,PHI,61,8,15.3,3.2,7.0,.462,0.5,1.7,.301,2.7,5.3,.512,.498,1.0,1.1,.871,0.2,1.5,1.7,2.0,0.4,0.2,0.7,1.3,8.0,PHI,2602920.0,2726880.0,4343920.0,0.0,0.0,0.0,1st Round Pick,5329800.0
347,"McCollum, CJ",SG,29,POR,47,47,34.0,8.6,18.8,.458,3.6,8.9,.402,5.0,9.9,.509,.554,2.3,2.8,.812,0.6,3.3,3.9,4.7,0.9,0.4,1.4,1.9,23.1,POR,30864198.0,33333333.0,35802469.0,0.0,0.0,0.0,1st Round Pick,100000000.0
348,"McConnell, T.J.",PG,28,IND,69,3,26.0,4.0,7.1,.559,0.2,0.7,.313,3.8,6.4,.586,.574,0.5,0.7,.688,0.8,2.9,3.7,6.6,1.9,0.3,2.0,1.6,8.6,IND,7500000.0,8100000.0,8700000.0,9300000.0,0.0,0.0,Early Bird,29300000.0
349,"McDaniels, Jaden",PF,20,MIN,63,27,24.0,2.6,5.8,.447,1.1,3.1,.364,1.5,2.7,.544,.545,0.4,0.7,.600,0.8,2.9,3.7,1.1,0.6,1.0,0.7,2.7,6.8,MIN,2063280.0,2161440.0,3901399.0,0.0,0.0,0.0,1st Round Pick,4224720.0
350,"McDaniels, Jalen",SF,23,CHO,47,18,19.2,2.8,6.0,.468,0.7,2.2,.333,2.1,3.8,.547,.530,1.0,1.4,.703,1.0,2.6,3.6,1.1,0.6,0.4,1.0,2.0,7.4,CHO,1782621.0,1930681.0,0.0,0.0,0.0,0.0,,0.0
351,"McDermott, Doug",PF,29,IND,66,29,24.5,5.4,10.1,.532,1.7,4.3,.388,3.7,5.7,.641,.616,1.2,1.5,.816,0.9,2.4,3.3,1.3,0.3,0.1,0.8,1.8,13.6,SAS,13750000.0,13750000.0,13750000.0,0.0,0.0,0.0,Sign and Trade,41250000.0
352,"McGee, JaVale",C,33,TOT,46,2,14.7,3.1,6.1,.511,0.1,0.5,.208,3.0,5.6,.539,.520,1.0,1.5,.657,1.7,3.5,5.2,0.8,0.4,1.2,1.3,2.6,7.3,PHO,5000000.0,0.0,0.0,0.0,0.0,0.0,MLE,5000000.0
353,"McGee, JaVale",C,33,CLE,33,1,15.2,3.4,6.5,.521,0.2,0.6,.250,3.2,5.9,.549,.533,1.1,1.7,.655,1.6,3.5,5.2,1.0,0.5,1.2,1.4,2.4,8.0,PHO,5000000.0,0.0,0.0,0.0,0.0,0.0,MLE,5000000.0
354,"McGee, JaVale",C,33,DEN,13,1,13.5,2.5,5.2,.478,0.0,0.3,.000,2.5,4.8,.508,.478,0.6,0.9,.667,1.8,3.5,5.3,0.5,0.2,1.1,1.2,3.2,5.5,PHO,5000000.0,0.0,0.0,0.0,0.0,0.0,MLE,5000000.0
355,"McGruder, Rodney",SG,29,DET,16,2,12.1,2.3,4.4,.529,0.7,1.5,.458,1.6,2.9,.565,.607,0.4,0.5,.750,0.5,0.9,1.4,1.0,0.5,0.1,0.4,0.8,5.7,DET,1939350.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,1939350.0
356,"McKinnie, Alfonzo",SF,28,LAL,39,0,6.6,1.2,2.4,.516,0.4,1.0,.410,0.8,1.4,.593,.602,0.3,0.5,.556,0.6,0.8,1.4,0.2,0.2,0.0,0.1,0.7,3.1,CHI,1090007.0,2036318.0,0.0,0.0,0.0,0.0,Minimum Salary,202176.0
357,"McKinnie, Alfonzo",SF,28,LAL,39,0,6.6,1.2,2.4,.516,0.4,1.0,.410,0.8,1.4,.593,.602,0.3,0.5,.556,0.6,0.8,1.4,0.2,0.2,0.0,0.1,0.7,3.1,CHI,1090007.0,2036318.0,0.0,0.0,0.0,0.0,,202176.0
358,"McKinnie, Alfonzo",SF,28,LAL,39,0,6.6,1.2,2.4,.516,0.4,1.0,.410,0.8,1.4,.593,.602,0.3,0.5,.556,0.6,0.8,1.4,0.2,0.2,0.0,0.1,0.7,3.1,CHI,1090007.0,2036318.0,0.0,0.0,0.0,0.0,,202176.0
359,"McLaughlin, Jordan",PG,24,MIN,51,2,18.4,2.0,4.7,.413,0.6,1.8,.359,1.3,2.9,.447,.481,0.5,0.6,.767,0.4,1.7,2.1,3.8,1.0,0.1,1.0,0.9,5.0,MIN,1669178.0,1815677.0,1968182.0,0.0,0.0,0.0,Early Bird,5453037.0
360,"McLemore, Ben",SG,27,TOT,53,5,17.1,2.5,6.9,.370,1.8,5.3,.346,0.7,1.6,.447,.503,0.7,1.0,.736,0.3,1.6,1.9,0.7,0.4,0.2,0.8,1.7,7.7,POR,2389641.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2389641.0
361,"McLemore, Ben",SG,27,HOU,32,4,16.8,2.5,7.0,.357,1.7,5.2,.331,0.8,1.8,.431,.480,0.7,1.0,.719,0.3,1.7,2.1,0.9,0.6,0.1,0.9,1.6,7.4,POR,2389641.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2389641.0
362,"McLemore, Ben",SG,27,LAL,21,1,17.5,2.6,6.7,.390,2.0,5.4,.368,0.6,1.3,.481,.539,0.8,1.0,.762,0.2,1.4,1.6,0.5,0.1,0.3,0.7,1.8,8.0,POR,2389641.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2389641.0
363,"Melton, De'Anthony",PG,22,MEM,52,1,20.1,3.3,7.6,.438,1.7,4.1,.412,1.6,3.5,.467,.548,0.8,1.0,.804,0.6,2.5,3.1,2.5,1.2,0.6,1.3,1.6,9.1,MEM,8437500.0,9062500.0,9687500.0,0.0,0.0,0.0,Early Bird,27187500.0
364,"Merrill, Sam",SG,24,MIL,30,2,7.8,1.1,2.4,.444,0.7,1.6,.447,0.4,0.8,.440,.590,0.1,0.1,1.000,0.2,0.8,1.0,0.7,0.3,0.0,0.3,0.6,3.0,MEM,663024.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,663024.0
365,"Metu, Chimezie",C,23,SAC,36,6,13.6,2.5,5.0,.508,0.4,1.0,.351,2.2,3.9,.549,.545,0.9,1.2,.721,0.9,2.3,3.1,0.8,0.4,0.5,0.8,1.6,6.3,SAC,1762796.0,1910860.0,0.0,0.0,0.0,0.0,,0.0
366,"Middleton, Khris",SF,29,MIL,68,68,33.4,7.5,15.8,.476,2.2,5.4,.414,5.3,10.4,.508,.546,3.1,3.5,.898,0.8,5.2,6.0,5.4,1.1,0.1,2.6,2.4,20.4,MIL,35500000.0,37948276.0,40396552.0,0.0,0.0,0.0,Bird Rights,73448276.0
367,"Mills, Patty",PG,32,SAS,68,1,24.8,3.7,9.0,.412,2.4,6.3,.375,1.3,2.7,.500,.544,1.0,1.1,.910,0.3,1.4,1.7,2.4,0.6,0.0,1.0,1.2,10.8,BRK,5890000.0,6184500.0,0.0,0.0,0.0,0.0,Mini MLE,5890000.0
